price,time,temp,wind,hour,dayofweek,month
22.663,2026-01-30 23:00:00,-18.5,7.2,23,4,1
20.13,2026-01-31 00:00:00,-18.2,7.2,0,5,1
18.951,2026-01-31 01:00:00,-18.7,8.3,1,5,1
18.825,2026-01-31 02:00:00,-19.2,7.9,2,5,1
19.077,2026-01-31 03:00:00,-19.2,7.9,3,5,1
20.468,2026-01-31 04:00:00,-19.8,7.9,4,5,1
20.983,2026-01-31 05:00:00,-20.9,7.2,5,5,1
18.953,2026-01-31 06:00:00,-20.7,6.8,6,5,1
21.597,2026-01-31 07:00:00,-21.1,7.9,7,5,1
20.331,2026-01-31 08:00:00,-20.8,8.3,8,5,1
21.524,2026-01-31 09:00:00,-19.5,7.9,9,5,1
21.172,2026-01-31 10:00:00,-17.8,6.5,10,5,1
22.436,2026-01-31 11:00:00,-16.4,5.4,11,5,1
23.172,2026-01-31 12:00:00,-15.7,4.7,12,5,1
22.682,2026-01-31 13:00:00,-15.6,5.4,13,5,1
23.301,2026-01-31 14:00:00,-16.1,7.2,14,5,1
23.28,2026-01-31 15:00:00,-16.6,8.3,15,5,1
20.468,2026-01-31 16:00:00,-17.0,8.6,16,5,1
17.834,2026-01-31 17:00:00,-17.2,9.0,17,5,1
17.22,2026-01-31 18:00:00,-17.5,9.0,18,5,1
15.816,2026-01-31 19:00:00,-17.7,7.9,19,5,1
14.67,2026-01-31 20:00:00,-18.0,7.6,20,5,1
13.15,2026-01-31 21:00:00,-18.2,6.5,21,5,1
11.162,2026-01-31 22:00:00,-18.4,5.4,22,5,1
6.585,2026-01-31 23:00:00,-18.9,5.4,23,5,1
6.598,2026-02-01 00:00:00,-20.0,6.5,0,6,2
6.667,2026-02-01 01:00:00,-20.6,6.1,1,6,2
6.679,2026-02-01 02:00:00,-21.2,7.6,2,6,2
7.193,2026-02-01 03:00:00,-21.8,8.3,3,6,2
7.959,2026-02-01 04:00:00,-22.1,7.9,4,6,2
8.276,2026-02-01 05:00:00,-21.9,7.9,5,6,2
9.849,2026-02-01 06:00:00,-22.0,7.6,6,6,2
12.293,2026-02-01 07:00:00,-22.5,7.6,7,6,2
11.651,2026-02-01 08:00:00,-22.2,7.6,8,6,2
14.32,2026-02-01 09:00:00,-20.9,7.2,9,6,2
12.756,2026-02-01 10:00:00,-19.2,6.1,10,6,2
13.276,2026-02-01 11:00:00,-17.9,6.5,11,6,2
13.942,2026-02-01 12:00:00,-17.1,7.2,12,6,2
14.619,2026-02-01 13:00:00,-17.1,6.8,13,6,2
16.314,2026-02-01 14:00:00,-17.7,7.2,14,6,2
17.084,2026-02-01 15:00:00,-19.4,8.6,15,6,2
16.603,2026-02-01 16:00:00,-20.7,9.0,16,6,2
16.494,2026-02-01 17:00:00,-21.5,8.3,17,6,2
16.314,2026-02-01 18:00:00,-22.2,7.9,18,6,2
15.878,2026-02-01 19:00:00,-22.6,8.3,19,6,2
16.787,2026-02-01 20:00:00,-22.9,8.3,20,6,2
15.592,2026-02-01 21:00:00,-23.1,8.3,21,6,2
14.045,2026-02-01 22:00:00,-23.2,9.0,22,6,2
12.172,2026-02-01 23:00:00,-21.5,10.4,23,6,2
11.797,2026-02-02 00:00:00,-21.6,11.2,0,0,2
14.105,2026-02-02 01:00:00,-21.8,12.2,1,0,2
15.911,2026-02-02 02:00:00,-22.1,13.3,2,0,2
17.584,2026-02-02 03:00:00,-22.0,13.7,3,0,2
32.654,2026-02-02 04:00:00,-22.2,14.0,4,0,2
49.416,2026-02-02 05:00:00,-22.4,14.4,5,0,2
51.056,2026-02-02 06:00:00,-22.8,14.8,6,0,2
55.132,2026-02-02 07:00:00,-22.4,15.1,7,0,2
55.389,2026-02-02 08:00:00,-21.8,16.2,8,0,2
53.221,2026-02-02 09:00:00,-20.9,16.6,9,0,2
55.953,2026-02-02 10:00:00,-19.5,16.2,10,0,2
55.358,2026-02-02 11:00:00,-17.9,17.3,11,0,2
51.068,2026-02-02 12:00:00,-17.5,17.3,12,0,2
51.023,2026-02-02 13:00:00,-16.8,18.4,13,0,2
50.968,2026-02-02 14:00:00,-17.0,18.0,14,0,2
49.32,2026-02-02 15:00:00,-17.1,19.1,15,0,2
43.733,2026-02-02 16:00:00,-17.1,19.1,16,0,2
48.147,2026-02-02 17:00:00,-17.3,19.1,17,0,2
43.343,2026-02-02 18:00:00,-17.4,18.4,18,0,2
30.364,2026-02-02 19:00:00,-17.6,17.6,19,0,2
28.218,2026-02-02 20:00:00,-17.9,16.6,20,0,2
25.602,2026-02-02 21:00:00,-18.0,15.8,21,0,2
22.651,2026-02-02 22:00:00,-18.3,15.5,22,0,2
21.728,2026-02-02 23:00:00,-18.7,15.1,23,0,2
18.825,2026-02-03 00:00:00,-19.0,14.4,0,1,2
18.825,2026-02-03 01:00:00,-19.3,14.8,1,1,2
18.825,2026-02-03 02:00:00,-19.6,14.0,2,1,2
26.367,2026-02-03 03:00:00,-19.8,13.3,3,1,2
41.188,2026-02-03 04:00:00,-20.1,13.3,4,1,2
60.289,2026-02-03 05:00:00,-20.2,12.6,5,1,2
60.163,2026-02-03 06:00:00,-20.3,12.2,6,1,2
60.04,2026-02-03 07:00:00,-20.5,12.2,7,1,2
57.534,2026-02-03 08:00:00,-19.7,12.2,8,1,2
59.993,2026-02-03 09:00:00,-18.4,12.2,9,1,2
55.498,2026-02-03 10:00:00,-16.9,11.5,10,1,2
61.436,2026-02-03 11:00:00,-15.4,11.9,11,1,2
56.111,2026-02-03 12:00:00,-13.9,11.9,12,1,2
60.748,2026-02-03 13:00:00,-13.1,11.2,13,1,2
62.316,2026-02-03 14:00:00,-13.4,9.4,14,1,2
77.045,2026-02-03 15:00:00,-14.5,10.1,15,1,2
61.725,2026-02-03 16:00:00,-15.6,11.9,16,1,2
61.946,2026-02-03 17:00:00,-16.5,11.2,17,1,2
61.394,2026-02-03 18:00:00,-17.1,10.8,18,1,2
50.385,2026-02-03 19:00:00,-17.4,9.7,19,1,2
41.052,2026-02-03 20:00:00,-17.6,9.4,20,1,2
47.274,2026-02-03 21:00:00,-17.2,10.4,21,1,2
33.649,2026-02-03 22:00:00,-17.2,10.8,22,1,2
24.183,2026-02-03 23:00:00,-14.9,13.3,23,1,2
20.983,2026-02-04 00:00:00,-15.2,13.3,0,2,2
18.825,2026-02-04 01:00:00,-15.4,13.0,1,2,2
20.046,2026-02-04 02:00:00,-15.5,12.2,2,2,2
22.262,2026-02-04 03:00:00,-15.4,12.2,3,2,2
31.207,2026-02-04 04:00:00,-15.6,11.9,4,2,2
37.65,2026-02-04 05:00:00,-15.4,12.6,5,2,2
40.123,2026-02-04 06:00:00,-15.4,11.9,6,2,2
38.369,2026-02-04 07:00:00,-15.0,11.9,7,2,2
